age,job,martial,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
30,unemployed,married,primary,no,1787,yes,no,unknown,16,nov,97,1,-1,0,nonexistent,no
33,services,married,secondary,no,428,yes,no,unknown,3,jun,40,1,-1,0,nonexistent,no
35,services,married,secondary,no,214,yes,no,unknown,5,jun,25,1,-1,0,nonexistent,no
30,management,single,tertiary,no,0,yes,no,unknown,5,jun,64,1,-1,0,nonexistent,no
59,blue-collar,married,secondary,no,0,yes,no,unknown,5,jun,23,1,-1,0,nonexistent,no
35,management,single,tertiary,no,0,yes,no,unknown,5,jun,64,1,-1,0,nonexistent,no
47,blue-collar,single,secondary,no,0,no,yes,unknown,5,jun,90,1,-1,0,nonexistent,no
33,services,single,tertiary,no,0,no,yes,unknown,5,jun,30,1,-1,0,nonexistent,no
35,services,married,primary,no,0,no,yes,unknown,5,jun,15,1,-1,0,nonexistent,no
36,blue-collar,married,primary,no,0,no,yes,unknown,5,jun,20,1,-1,0,nonexistent,no
35,blue-collar,married,primary,no,0,no,yes,unknown,5,jun,25,1,-1,0,nonexistent,no
30,blue-collar,single,secondary,no,0,no,yes,unknown,5,jun,30,1,-1,0,nonexistent,no
30,blue-collar,married,primary,no,0,no,yes,unknown,5,jun,40,1,-1,0,nonexistent,no
30,blue-collar,single,secondary,no,0,no,yes,unknown,5,jun,50,1,-1,0,nonexistent,no
30,blue-collar,married,primary,no,0,no,yes,unknown,5,jun,60,1,-1,0,nonexistent,no
30,blue-collar,married,secondary,no,0,no,yes,unknown,5,jun,70,1,-1,0,nonexistent,no
30,blue-collar,single,primary,no,0,no,yes,unknown,5,jun,80,1,-1,0,nonexistent,no
30,blue-collar,married,secondary,no,0,no,yes,unknown,5,jun,90,1,-1,0,nonexistent,no
30,blue-collar,single,primary,no,0,no,yes,unknown,5,jun,100,1,-1,0,nonexistent,no
30,blue-collar,single,primary,no,0,no,yes,unknown,5,jun,110,1,-1,0,nonexistent,no
30,blue-collar,single,secondary,no,0,no,yes,unknown,5,jun,120,1,-1,0,nonexistent,no
30,blue-collar,single,tertiary,no,0,no,yes,unknown,5,jun,130,1,-1,0,nonexistent,no
30,blue-collar,single,tertiary,no,0,no,yes,unknown,5,jun,140,1,-1,0,nonexistent,no
30,blue-collar,single,tertiary,no,0,no,yes,unknown,5,jun,150,1,-1,0,nonexistent,no
